年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分_類別,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標_緯度,GPS座標_經度,事故類別
2018,9,1,14,0,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,3,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,7,7,1,21,  ,B03,24.141662,120.667364,3
2018,9,1,14,15,臺中市,北區,0,1,0,7,1,5,50,14,9,1,5,4,5,7,4,4,10,5,5,2,3,53,2,9,4,5,H01,8,18,8,20,10,16,  ,53,53,1,13,8,H01,24.165325,120.683743,2
2018,9,1,14,15,臺中市,南區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,  ,,B03,24.129258,120.676606,3
2018,9,1,14,18,臺中市,大雅區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,9,4,4,1,17,25,2,9,1,1,C03,7,9,1,10,2,11,  ,25,25,1,22,9,C03,24.21573,120.67082,2
2018,9,1,14,22,臺中市,烏日區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,9,,1,21,,B03,24.111996,120.607838,3
2018,9,1,14,28,臺中市,霧峰區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,9,,,12,,2,22,,B03,24.063818,120.699141,3
2018,9,1,14,47,臺中市,清水區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,1,1,1,4,4,2,17,23,2,9,1,1,C03,7,6,1,10,2,11,  ,23,23,1,21,5,C03,24.262596,120.541807,2
2018,9,1,14,50,臺中市,太平區,0,0,,6,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,9,,,12,,1,9,,B03,24.130351,120.720589,3
2018,9,1,14,52,臺中市,南區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,2,  ,6,6,1,17,6,B03,24.133188,120.679548,2
2018,9,1,14,56,臺中市,北區,0,0,,6,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,16,,1,22,,B03,24.15573,120.676857,3
2018,9,1,14,58,臺中市,南區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,43,3,10,1,1,B03,7,9,1,8,2,5,  ,43,43,1,21,8,B03,24.119231,120.669651,2
2018,9,1,15,0,臺中市,太平區,0,0,,6,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,  ,,B03,24.15,120.711944,3
2018,9,1,15,6,臺中市,西區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,5,2,17,19,3,10,1,1,B03,7,1,1,8,2,8,  ,19,19,1,5,8,B03,24.142943,120.660759,2
2018,9,1,15,10,臺中市,太平區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,,1,9,,B03,24.159018,120.713326,3
2018,9,1,15,15,臺中市,北屯區,0,2,0,8,1,5,40,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,15,  ,6,6,1,21,8,C03,24.16444,120.690735,2
2018,9,1,15,15,臺中市,太平區,0,1,0,8,1,5,40,11,9,1,5,4,5,7,4,4,5,5,5,1,11,26,2,9,1,1,C03,7,9,1,10,2,14,  ,26,26,1,5,8,C03,24.078055,120.819166,2
2018,9,1,15,18,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,16,,1,  ,,B03,24.182401,120.601059,3
2018,9,1,15,20,臺中市,龍井區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,42,,1,22,,C03,24.181788,120.599857,3
2018,9,1,15,21,臺中市,清水區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,17,26,2,9,1,1,C03,7,11,1,10,2,12,  ,26,26,1,20,5,C03,24.279001,120.575453,2
2018,9,1,15,25,臺中市,北屯區,0,2,0,6,1,5,40,3,1,1,4,4,5,7,1,1,5,5,4,2,13,23,2,8,1,1,C03,7,9,1,10,2,11,  ,23,23,1,22,8,C03,24.165009,120.691367,2
2018,9,1,15,38,臺中市,西區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,1,1,5,4,4,2,18,23,2,9,1,1,C03,7,9,1,10,2,12,  ,23,23,1,22,9,C03,24.149582,120.669804,2
2018,9,1,15,40,臺中市,烏日區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,25,2,9,3,1,C03,7,9,1,10,2,12,  ,25,25,1,21,8,C03,24.10616,120.625143,2
2018,9,1,15,42,臺中市,西屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B02,,,1,,2,,,23,,1,  ,,B02,24.181629,120.646353,3
2018,9,1,15,43,臺中市,南屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,3,,1,,,23,,1,22,,B03,24.135922,120.646499,3
2018,9,1,15,50,臺中市,大里區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,25,,1,21,,B03,24.113204,120.68383,3
2018,9,1,15,51,臺中市,西屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,43,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,43,43,1,5,  ,B03,24.19638,120.647046,3
2018,9,1,15,53,臺中市,西區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,1,  ,6,6,1,21,8,B03,24.12997,120.666945,2
2018,9,1,16,5,臺中市,沙鹿區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,A11,,,1,,2,,,23,,1,  ,,A11,24.249988,120.594556,3
2018,9,1,16,13,臺中市,西屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.177108,120.667152,3
2018,9,1,16,18,臺中市,南區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,7,7,1,22,  ,B03,24.114797,120.670379,3
2018,9,1,16,20,臺中市,北屯區,0,1,0,7,1,5,50,14,7,1,5,4,5,7,4,4,1,4,4,2,18,42,2,9,1,1,C03,7,9,1,10,2,14,  ,42,42,1,5,8,C03,24.168835,120.685336,2
2018,9,1,16,28,臺中市,西區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,11,  ,6,6,1,21,5,C03,24.142084,120.667197,2
2018,9,1,16,30,臺中市,南區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,17,2,9,1,1,C03,7,9,1,10,2,14,  ,17,17,1,22,8,C03,24.11861,120.65375,2
2018,9,1,16,30,臺中市,南屯區,,,,8,,,50,,,,,,,,,,,,,,,,,,,,B02,,,1,,2,,,16,,1,22,,B02,24.141382,120.641346,3
2018,9,1,16,34,臺中市,大雅區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,16,,1,  ,,C03,24.215918,120.67088,3
2018,9,1,16,35,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,8,2,6,6,6,6,1,5,5,B03,24.118602,120.63637,2
2018,9,1,16,35,臺中市,北屯區,0,1,0,8,1,5,40,14,7,1,5,4,5,7,4,4,5,5,4,2,18,42,3,10,1,1,B12,7,1,1,8,2,15,  ,42,42,1,21,8,B12,24.175066,120.723308,2
2018,9,1,16,36,臺中市,南區,0,1,0,7,1,5,40,14,8,1,5,4,5,7,4,4,9,4,4,2,17,23,2,9,1,1,C03,7,9,1,9,2,11,  ,23,23,1,21,8,C03,24.128657,120.662077,2
2018,9,1,16,40,臺中市,龍井區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,6,,1,19,,B12,24.185075,120.530438,3
2018,9,1,16,44,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,7,7,1,18,  ,B03,24.162792,120.674533,3
2018,9,1,16,44,臺中市,南屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,21,,B03,24.141539,120.640663,3
2018,9,1,16,48,臺中市,南區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,22,,B03,24.11666,120.671773,3
2018,9,1,16,49,臺中市,西屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,16,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,16,16,1,  ,  ,B03,24.185628,120.6377,3
2018,9,1,16,49,臺中市,龍井區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,4,4,10,5,5,2,16,23,2,9,1,1,C03,7,9,1,10,2,11,  ,6,23,1,22,8,C03,24.189271,120.596871,2
2018,9,1,17,3,臺中市,清水區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,C03,7,9,1,10,2,12,  ,6,6,1,21,8,C03,24.280545,120.56195,2
