年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分_類別,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
2018,12,1,10,44,臺中市,清水區,0,0,,8,,,70,,,,,,,,,,,,,,,,,,,,A41,,,1,,3,,,25,,1,10,,A41,24.281683,120.536535,3
2018,12,1,10,52,臺中市,南屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,  ,,B03,24.115318,120.625502,3
2018,12,1,10,55,臺中市,北屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,3,,,23,,1,  ,,B03,24.170297,120.694606,3
2018,12,1,10,55,臺中市,大雅區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,A12,,,1,,2,,,12,,1,22,,A12,24.22998,120.64628,3
2018,12,1,11,1,臺中市,太平區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,17,25,3,10,1,1,C03,7,6,1,10,2,15,  ,25,25,1,20,8,C03,24.152056,120.715433,2
2018,12,1,11,2,臺中市,北區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,  ,,B03,24.145654,120.682982,3
2018,12,1,11,5,臺中市,新社區,0,2,0,8,1,5,50,3,2,1,5,4,5,7,4,4,5,5,5,1,17,42,3,10,1,1,B03,7,6,1,3,2,15,  ,44,42,1,9,8,B03,24.211954,120.795884,2
2018,12,1,11,10,臺中市,后里區,0,1,0,8,1,5,50,14,12,1,5,4,5,7,4,4,5,4,4,1,16,10,3,10,3,4,B12,7,11,1,8,2,7,  ,10,10,1,22,8,B12,24.308951,120.721508,2
2018,12,1,11,12,臺中市,烏日區,0,1,0,8,1,5,70,14,9,1,5,4,5,7,4,4,1,4,4,1,12,17,3,10,1,1,B12,7,4,1,8,2,2,  ,17,17,1,21,8,B12,24.110883,120.599718,2
2018,12,1,11,12,臺中市,東勢區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,1,1,8,3,5,1,12,23,2,8,1,1,C03,7,9,1,10,2,11,  ,23,23,1,22,9,C03,24.25757,120.828073,2
2018,12,1,11,17,臺中市,東區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,C03,7,5,3,18,2,14,  ,6,6,2,20,8,C03,24.14013,120.687863,2
2018,12,1,11,24,臺中市,北區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,22,,B03,24.157329,120.680633,3
2018,12,1,11,24,臺中市,后里區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,1,1,5,4,4,1,13,16,3,10,3,4,A41,7,9,1,1,2,1,  ,16,16,1,22,9,A41,24.315428,120.68404,2
2018,12,1,11,25,臺中市,南屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,3,,2,,,12,,1,  ,,B03,24.143288,120.635979,3
2018,12,1,11,25,臺中市,西屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,5,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,5,  ,6,6,1,22,8,B03,24.175818,120.637475,2
2018,12,1,11,28,臺中市,石岡區,0,1,0,8,1,5,40,3,1,1,5,4,5,7,4,4,10,5,5,1,16,6,2,9,1,1,C03,7,6,1,10,2,14,  ,6,6,1,9,8,C03,24.26758,120.808711,2
2018,12,1,11,30,臺中市,大里區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,17,6,3,10,1,1,B03,7,5,1,8,2,1,  ,6,6,1,22,5,B03,24.110366,120.694406,2
2018,12,1,11,30,臺中市,烏日區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,1,17,10,3,10,1,1,B03,7,11,1,8,2,2,  ,10,10,1,21,8,B03,24.077308,120.643352,2
2018,12,1,11,35,臺中市,大甲區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C04,7,5,1,8,2,13,  ,6,6,1,4,8,C04,24.347691,120.627671,2
2018,12,1,11,40,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,25,3,10,3,4,B03,7,9,1,8,2,4,  ,25,25,1,22,9,B03,24.133746,120.638296,2
2018,12,1,11,40,臺中市,北屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,5,,B03,24.162401,120.71926,3
2018,12,1,11,40,臺中市,西屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,A05,,,1,,2,,,2,,1,  ,,A05,24.200789,120.657941,3
2018,12,1,11,40,臺中市,大里區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,26,3,10,1,1,B03,7,6,1,8,2,5,  ,26,26,1,20,8,B03,24.094291,120.688236,2
2018,12,1,11,43,臺中市,中區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,5,2,12,26,3,10,3,4,B03,7,6,1,8,2,2,  ,26,26,1,21,8,B03,24.138635,120.67918,2
2018,12,1,11,43,臺中市,沙鹿區,0,0,,8,,,60,,,,,,,,,,,,,,,,,,,,B11,,,1,,2,,,42,,1,4,,B11,24.250021,120.59744,3
2018,12,1,11,44,臺中市,中區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,4,5,2,13,23,2,9,1,1,C03,7,9,1,10,2,11,  ,23,23,1,20,8,C03,24.143277,120.682721,2
2018,12,1,11,47,臺中市,西屯區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,2,1,5,4,4,2,16,26,3,10,3,3,B03,7,11,1,8,2,1,  ,26,26,1,21,8,B03,24.17779,120.642336,2
2018,12,1,11,55,臺中市,北屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,23,  ,  ,  ,  ,B12,  ,  ,1,  ,2,  ,  ,23,23,1,21,  ,B12,24.164806,120.711788,3
2018,12,1,11,57,臺中市,沙鹿區,0,1,0,8,1,5,40,3,1,1,5,4,5,7,4,4,10,5,5,2,16,8,2,9,3,4,F02,7,5,8,20,2,16,  ,8,8,1,22,9,F02,24.223442,120.554478,2
2018,12,1,12,0,臺中市,新社區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,8,3,5,1,12,23,2,7,1,1,C01,7,9,1,9,2,11,  ,23,23,1,22,9,C01,24.233169,120.809456,2
2018,12,1,12,3,臺中市,龍井區,0,2,0,8,1,5,70,3,1,1,5,4,5,7,1,1,10,5,5,2,16,43,2,9,1,1,C03,7,9,1,10,2,11,  ,43,43,1,19,8,C03,24.211344,120.550926,2
2018,12,1,12,5,臺中市,大甲區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,1,1,10,5,5,2,12,43,3,10,1,1,C03,7,6,1,10,2,14,  ,43,43,1,4,8,C03,24.339947,120.619247,2
2018,12,1,12,23,臺中市,南屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,10,4,5,2,16,7,3,10,1,1,B03,7,7,1,8,2,2,  ,7,7,1,22,8,B03,24.131893,120.649763,2
2018,12,1,12,23,臺中市,大里區,0,2,0,8,1,5,50,4,2,1,5,4,5,7,1,1,5,2,5,1,15,6,2,8,1,1,C03,7,9,1,10,2,11,  ,6,6,1,22,9,C03,24.101873,120.675938,2
2018,12,1,12,23,臺中市,大里區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,A41,,,1,,2,,,12,,1,10,,A41,24.117585,120.681438,3
2018,12,1,12,25,臺中市,西屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,16,,1,22,,C03,24.169185,120.642241,3
2018,12,1,12,27,臺中市,北區,0,1,0,8,1,5,50,3,2,1,5,4,5,7,4,4,5,4,5,2,17,19,3,10,1,1,B03,7,1,1,8,2,15,  ,19,19,1,21,8,B03,24.166854,120.669942,2
2018,12,1,12,27,臺中市,北區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,18,23,2,9,1,1,C03,7,9,1,10,2,11,  ,23,23,1,5,8,C03,24.157576,120.685115,2
