"年","月","日","時","分","縣市","區","死","受傷","2-30","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","受傷程度","主要傷處","保護裝備","行動電話","當事者區分_類別","車輛用途","當事者行動狀態","駕駛資格情形","駕駛執照種類","飲酒情形","車輛撞擊部位最初","車輛撞擊部位其他","肇事因素個別","肇事因素主要","肇事逃逸","職業","旅次目的","車種","GPS座標_緯度","GPS座標_經度","事故類別"
"2019","7","1","9","13","臺中市","南屯區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","9","","","18","","1","","","B03","24.144714","120.63412","3"
"2019","7","1","9","20","臺中市","西區","0","2","0","8","1","5","40","4","1","1","5","4","5","7","4","4","10","5","5","2","15","6","2","9","1","1","C03","7","9","1","10","2","11","","6","6","1","21","8","C03","24.152028","120.65941","2"
"2019","7","1","9","25","臺中市","太平區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","4","4","5","5","5","2","15","6","2","9","1","1","C03","7","9","5","18","2","11","","6","6","1","5","5","C03","24.11374","120.718572","2"
"2019","7","1","9","25","臺中市","烏日區","0","2","0","8","1","5","50","3","1","1","5","4","5","7","1","1","10","5","5","2","13","42","2","9","1","1","C03","7","15","1","10","2","13","","42","42","1","21","8","C03","24.078673","120.643245","2"
"2019","7","1","9","27","臺中市","西區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","5","4","5","2","18","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","21","8","C03","24.138761","120.678942","2"
"2019","7","1","9","29","臺中市","龍井區","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","B03","","","5","","2","","","23","","1","22","","B03","24.191938","120.579759","3"
"2019","7","1","9","30","臺中市","太平區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","18","","1","22","","B03","24.129903","120.720022","3"
"2019","7","1","9","30","臺中市","潭子區","0","2","0","8","1","5","50","3","1","1","5","4","5","7","4","4","5","5","5","1","16","8","2","9","1","1","C03","7","5","3","18","2","11","","8","8","1","22","8","C03","24.205347","120.711559","2"
"2019","7","1","9","47","臺中市","太平區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","16","","1","21","","B03","24.155608","120.717066","3"
"2019","7","1","9","50","臺中市","后里區","0","0","0","8","1","5","50","4","13","1","5","4","5","7","3","1","5","5","4","1","17","23","3","10","1","1","B12","7","1","1","8","2","5","","23","23","2","21","8","B12","24.313676","120.693701","3"
"2019","7","1","9","56","臺中市","龍井區","0","0","0","8","","","70","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","","","B03","24.217305","120.541911","3"
"2019","7","1","9","56","臺中市","梧棲區","0","0","0","8","","","70","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","12","","1","19","","B03","24.258151","120.558998","4"
"2019","7","1","10","10","臺中市","大雅區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","5","5","5","1","15","25","3","10","1","1","B12","7","9","1","8","2","1","","25","25","1","21","8","B12","24.21711","120.661057","2"
"2019","7","1","10","14","臺中市","大里區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","C03","","","2","","2","","","23","","1","22","","C03","24.093476","120.703784","3"
"2019","7","1","10","21","臺中市","西屯區","0","0","0","8","","","40","","","","","","","","","","","","","","","19","","","","","B12","","","1","","2","","","19","19","1","4","","B12","24.19374","120.622651","3"
"2019","7","1","10","22","臺中市","北屯區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","15","6","2","9","3","4","C03","7","9","4","11","2","12","","6","6","1","22","8","C03","24.182747","120.669297","2"
"2019","7","1","10","30","臺中市","西區","0","1","0","8","1","5","50","14","8","1","5","4","5","7","4","4","5","4","4","2","16","40","3","10","1","1","B03","7","15","1","8","2","4","","40","40","1","21","8","B03","24.143814","120.650187","2"
"2019","7","1","10","30","臺中市","大雅區","0","3","0","8","1","5","40","4","1","1","5","4","5","7","3","3","5","5","5","1","15","6","2","9","1","1","C03","7","9","1","10","2","11","","6","6","1","22","9","C03","24.222728","120.656948","2"
"2019","7","1","10","37","臺中市","西區","0","1","0","8","1","5","40","4","1","1","5","4","5","7","1","1","10","5","5","2","18","42","2","9","1","1","C03","7","9","1","10","2","14","","42","42","1","21","8","C03","24.148367","120.674239","2"
"2019","7","1","10","40","臺中市","神岡區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","23","","1","","","B12","24.253727","120.656463","3"
"2019","7","1","10","46","臺中市","東區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","16","9","3","10","1","1","B03","7","6","1","8","2","2","","9","9","1","22","8","B03","24.147962","120.692419","2"
"2019","7","1","10","48","臺中市","北區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","16","26","2","9","1","1","C03","7","5","1","10","2","14","","26","26","1","22","8","C03","24.155601","120.695251","2"
"2019","7","1","11","0","臺中市","中區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","C03","","","1","","2","","","16","","1","22","","C03","24.136613","120.683585","3"
"2019","7","1","11","0","臺中市","西屯區","0","1","0","8","1","5","40","3","1","1","5","4","5","7","4","4","5","5","5","2","16","8","3","10","1","1","B03","7","5","1","8","2","1","","8","8","1","22","8","B03","24.160519","120.658775","2"
